
"Submission Date",q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,confidence,quality,competence
"Jul 21, 2022","Stück 2","Stück 2","Stück 2","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Ich glaube eines der Stücke zu kennen","Ich glaube eines der Stücke zu kennen","Ich glaube eines der Stücke zu kennen",4,3,2
"Jul 21, 2022","Stück 2","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1",2,2,4
"Jul 21, 2022","Stück 2","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 2","Stück 1",1,4,4
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1",4,2,5
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1",4,2,4
"Jul 21, 2022","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2",3,4,3
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 2",1,5,1
"Jul 21, 2022","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2",1,4,1
"Jul 21, 2022","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 2",1,5,3
"Jul 21, 2022","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1",1,4,3
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 2","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2",1,5,3
"Jul 21, 2022","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 2","Stück 2","Stück 1","Stück 2",2,4,2
"Jul 21, 2022","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 2","Stück 1",3,1,4
"Jul 21, 2022","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1",3,3,3
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 2","Stück 2","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 2",3,4,2
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2",3,3,4
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 2","Stück 2","Stück 2","Stück 2",3,3,1
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1",5,3,4
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 2","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 2","Stück 2","Stück 2","Stück 2",2,4,3
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Ich glaube eines der Stücke zu kennen","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1",4,2,3
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2",1,2,2
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Ich glaube eines der Stücke zu kennen","Stück 1",4,3,3
"Jul 21, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2",3,4,3
"Jul 21, 2022","Stück 2","Stück 2","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 2",2,4,3
"Jul 20, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 1","Stück 2","Stück 2","Stück 1",3,4,3
"Jul 19, 2022","Stück 2","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 2","Stück 2","Stück 2","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 1","Stück 1","Stück 2","Stück 2",4,4,5
